do_id	description
DOID:2155	malignant ovarian germ cell neoplasm
DOID:2156	ovarian germ cell cancer
DOID:2174	ocular cancer
DOID:2224	essential thrombocythemia
DOID:2226	myeloproliferative neoplasm
DOID:2338	mandibular cancer
DOID:2394	ovarian cancer
DOID:2401	clitoris cancer
DOID:2430	skin glomus tumor
DOID:2431	glomus tumor
DOID:2441	frontal sinus squamous cell carcinoma
DOID:2442	paranasal sinus squamous cell carcinoma
DOID:2513	basal cell carcinoma
DOID:2526	prostate adenocarcinoma
DOID:2531	hematologic cancer
DOID:2595	glottis cancer
DOID:2596	larynx cancer
DOID:2599	glottis carcinoma
DOID:2600	laryngeal carcinoma
DOID:2621	autonomic nervous system neoplasm
DOID:2632	papillary serous adenocarcinoma
DOID:2641	ovarian germ cell monodermal and highly specialized teratoma
DOID:2643	perivascular epithelioid cell tumor
DOID:2647	parachordoma
DOID:2668	mesenchymoma
DOID:2669	Pacinian tumor
DOID:2671	transitional cell carcinoma
DOID:2685	ossifying fibromyxoid tumor
DOID:2687	skin sarcoma
DOID:2689	lymphangiosarcoma
DOID:2696	Leydig cell tumor
DOID:2704	malignant giant cell tumor of the tendon sheath
DOID:2705	malignant giant cell tumor
DOID:2706	synovium cancer
DOID:2762	bone carcinoma
DOID:2763	ethmoid sinus squamous cell carcinoma
DOID:2764	ethmoid sinus adenoid cystic carcinoma
DOID:2766	ethmoid sinus adenocarcinoma
DOID:2775	long bone adamantinoma
DOID:2776	adamantinoma
DOID:2781	rectosigmoid cancer
DOID:2782	rectosigmoid junction cancer
DOID:2784	lung sarcoma
DOID:2814	malignant neoplasm of acoustic nerve
DOID:2815	cranial nerve malignant neoplasm
DOID:2816	malignant oculomotor nerve tumor
DOID:2817	cranial nerve III tumor
DOID:2870	endometrial adenocarcinoma
DOID:2871	endometrial carcinoma
DOID:2876	laryngeal squamous cell carcinoma
DOID:2877	larynx sarcoma
DOID:2892	exocervical carcinoma
DOID:2893	cervix carcinoma
DOID:2992	prostate neuroendocrine neoplasm
DOID:2994	germ cell cancer
DOID:2996	mixed germ cell-sex cord neoplasm
DOID:2997	Sertoli-Leydig cell tumor
DOID:2998	testicular cancer
DOID:2999	granulosa cell tumor
DOID:3001	female reproductive endometrioid cancer
DOID:3002	ovary neuroendocrine neoplasm
DOID:3004	breast myoepithelial neoplasm
DOID:3007	breast ductal carcinoma
DOID:3008	invasive ductal carcinoma
DOID:3011	breast granular cell tumor
DOID:3016	breast malignant phyllodes tumor
DOID:3017	breast sarcoma
DOID:3024	prostatic acinar adenocarcinoma
DOID:3025	acinar cell carcinoma
DOID:3029	colon mucinous adenocarcinoma
DOID:3030	mucinous adenocarcinoma
DOID:3033	colon signet ring adenocarcinoma
DOID:3038	submucosal invasive colon adenocarcinoma
DOID:3039	cecum adenocarcinoma
DOID:3068	glioblastoma
DOID:3069	malignant astrocytoma
DOID:3070	high grade glioma
DOID:3071	gliosarcoma
DOID:3073	brain glioblastoma multiforme
DOID:3074	giant cell glioblastoma
DOID:3076	adult astrocytic tumor
DOID:3078	anaplastic astrocytoma
DOID:3079	childhood astrocytic tumor
DOID:3093	nervous system cancer
DOID:3095	germ cell and embryonal cancer
DOID:3098	small cell sarcoma
DOID:3110	papillary cystadenocarcinoma
DOID:3111	cystadenocarcinoma
DOID:3112	papillary adenocarcinoma
DOID:3113	papillary carcinoma
DOID:3114	serous cystadenocarcinoma
DOID:3119	gastrointestinal system cancer
DOID:3121	gallbladder cancer
DOID:3149	keratoacanthoma
DOID:3151	skin squamous cell carcinoma
DOID:3162	malignant spindle cell melanoma
DOID:3181	oligodendroglioma
DOID:3183	childhood oligodendroglioma
DOID:3184	spinal cord oligodendroglioma
DOID:3185	spinal cord glioma
DOID:3186	adult oligodendroglioma
DOID:3187	brain oligodendroglioma
DOID:3193	peripheral nerve sheath neoplasm
DOID:3198	hypoglossal nerve neoplasm
DOID:3199	C-P angle neurinoma
DOID:3200	cerebellopontine angle tumor
DOID:3201	sympathetic neurilemmoma
DOID:3202	neurilemmoma of the fifth cranial nerve
DOID:3216	jejunal somatostatinoma
DOID:3234	central nervous system lymphoma
DOID:3246	embryonal rhabdomyosarcoma
DOID:3247	rhabdomyosarcoma
DOID:3250	pleomorphic rhabdomyosarcoma
DOID:3251	prostate embryonal rhabdomyosarcoma
DOID:3252	prostate rhabdomyosarcoma
DOID:3253	embryonal extrahepatic bile duct rhabdomyosarcoma
DOID:3254	bile duct rhabdomyosarcoma
DOID:3255	botryoid rhabdomyosarcoma
DOID:3258	orbit embryonal rhabdomyosarcoma
DOID:3259	orbit rhabdomyosarcoma
DOID:3260	spindle cell rhabdomyosarcoma
DOID:3264	subacute leukemia
DOID:3275	thymoma
DOID:3277	thymus cancer
DOID:3278	encapsulated thymoma
DOID:3279	spindle cell thymoma
DOID:3280	mixed type thymoma
DOID:3281	combined thymoma
DOID:3282	thymoma type B
DOID:3283	invasive malignant thymoma
DOID:3284	thymic carcinoma
DOID:3302	chordoma
DOID:3303	notochordal cancer
DOID:3304	germinoma
DOID:3305	teratocarcinoma
DOID:3306	mixed germ cell cancer
DOID:3307	teratoma
DOID:3308	embryonal carcinoma
DOID:3316	perivascular tumor
DOID:3347	osteosarcoma
DOID:3350	mesenchymal cell neoplasm
DOID:3351	bone angioendothelial sarcoma
DOID:3352	malignant fibrous histiocytoma of bone
DOID:3354	fibrosarcoma of bone
DOID:3355	fibrosarcoma
DOID:3356	localized osteosarcoma
DOID:3357	extraosseous osteosarcoma
DOID:3360	multifocal osteogenic sarcoma
DOID:3361	childhood osteosarcoma
DOID:3367	bone leiomyosarcoma
DOID:3368	Ewing sarcoma of bone
DOID:3369	Ewing sarcoma
DOID:3371	chondrosarcoma
DOID:3372	chondroblastic osteosarcoma
DOID:3373	parosteal osteosarcoma
DOID:3374	peripheral osteosarcoma
DOID:3376	bone osteosarcoma
DOID:3377	small cell osteogenic sarcoma
DOID:3379	metachronous osteosarcoma of the bone
DOID:3381	liposarcoma of bone
DOID:3382	liposarcoma
DOID:3417	glossopharyngeal nerve neoplasm
DOID:3419	optic nerve neoplasm
DOID:3421	trochlear nerve neoplasm
DOID:3443	mammary Paget's disease
DOID:3444	scrotum Paget's disease
DOID:3445	scrotal carcinoma
DOID:3446	anal Paget's disease
DOID:3447	anus adenocarcinoma
DOID:3448	penis Paget's disease
DOID:3449	penis carcinoma
DOID:3450	cutaneous Paget's disease
DOID:3451	skin carcinoma
DOID:3457	invasive lobular carcinoma
DOID:3458	breast adenocarcinoma
DOID:3459	breast carcinoma
DOID:3478	iris cancer
DOID:3479	uveal cancer
DOID:3493	signet ring cell adenocarcinoma
DOID:3494	bile duct signet ring cell carcinoma
DOID:3495	extrahepatic bile duct adenocarcinoma
DOID:3497	pancreatic signet ring cell adenocarcinoma
DOID:3498	pancreatic ductal adenocarcinoma
DOID:3499	gallbladder signet ring cell adenocarcinoma
DOID:3500	gallbladder adenocarcinoma
DOID:3501	ampullary signet ring cell adenocarcinoma
DOID:3502	ampulla of Vater adenocarcinoma
DOID:3503	breast signet ring cell adenocarcinoma
DOID:3504	prostate signet ring cell adenocarcinoma
DOID:3507	dermatofibrosarcoma protuberans
DOID:3512	neurofibrosarcoma
DOID:3516	adult fibrosarcoma
DOID:3517	conventional fibrosarcoma
DOID:3520	childhood fibrosarcoma
DOID:3540	choroid plexus cancer
DOID:3541	cerebral ventricle cancer
DOID:3542	adult choroid plexus cancer
DOID:3545	childhood choroid plexus cancer
DOID:3559	pseudomyxoma peritonei
DOID:3565	meningioma
DOID:3571	liver cancer
DOID:3577	Sertoli cell tumor
DOID:3587	pancreatic ductal carcinoma
DOID:3590	gestational trophoblastic neoplasm
DOID:3593	epithelioid trophoblastic tumor
DOID:3594	choriocarcinoma
DOID:3596	placental site trophoblastic tumor
DOID:3603	mucinous cystadenocarcinoma
DOID:3604	ovarian mucinous cystadenocarcinoma
DOID:3605	ovarian cystadenocarcinoma
DOID:3606	ovarian mucinous adenocarcinoma
DOID:3607	appendix mucinous cystadenocarcinoma
DOID:3608	appendix adenocarcinoma
DOID:3609	breast mucinous cystadenocarcinoma
DOID:3610	breast mucinous carcinoma
