mondo_id	description
MONDO:0001740	cornea squamous cell carcinoma
MONDO:0001743	paranasal sinus lymphoma
MONDO:0001748	maxillary sinus carcinoma
MONDO:0001756	frontal sinus cancer
MONDO:0001758	paranasal sinus sarcoma
MONDO:0001763	ethmoid sinus cancer
MONDO:0001805	female breast central part cancer
MONDO:0001850	female breast lower-outer quadrant cancer
MONDO:0001852	small intestine lymphoma
MONDO:0001861	malignant parietal pleura tumor
MONDO:0001862	malignant visceral pleura tumor
MONDO:0001869	paraurethral gland cancer
MONDO:0001879	anus cancer
MONDO:0001888	anus lymphoma
MONDO:0001892	spinal cord lymphoma
MONDO:0001893	spinal cord melanoma
MONDO:0001894	spinal cord sarcoma
MONDO:0001952	parietal lobe cancer
MONDO:0001977	ureteral lymphoma
MONDO:0001978	regional ureteric cancer
MONDO:0001990	malignant cardiac peripheral nerve sheath neoplasm
MONDO:0001991	malignant cardiac germ cell tumor
MONDO:0001992	rete testis adenocarcinoma
MONDO:0001993	seminal vesicle adenocarcinoma
MONDO:0001994	sphenoidal sinus cancer
MONDO:0001995	sphenoid sinus squamous cell carcinoma
MONDO:0002032	colon carcinoma
MONDO:0002033	cecum cancer
MONDO:0002034	cecum lymphoma
MONDO:0002035	colon lymphoma
MONDO:0002038	head and neck carcinoma
MONDO:0002067	female breast upper-inner quadrant cancer
MONDO:0002068	female breast lower-inner quadrant cancer
MONDO:0002069	female breast axillary tail cancer
MONDO:0002071	supratentorial cancer
MONDO:0002073	malignant pineal area germ cell neoplasm
MONDO:0002087	peritoneum cancer
MONDO:0002095	vascular cancer
MONDO:0002096	malignant conjunctival melanoma
MONDO:0002100	cardiovascular cancer
MONDO:0002108	thyroid cancer
MONDO:0002109	pituitary cancer
MONDO:0002113	peritoneal carcinoma
MONDO:0002114	pancreas lymphoma
MONDO:0002116	malignant exocrine pancreas neoplasm
MONDO:0002117	pancreas sarcoma
MONDO:0002120	neuroendocrine carcinoma
MONDO:0002129	bone cancer
MONDO:0002131	jaw cancer
MONDO:0002132	skull cancer
MONDO:0002140	vagina sarcoma
MONDO:0002141	cutaneous undifferentiated pleomorphic sarcoma
MONDO:0002142	undifferentiated pleomorphic sarcoma
MONDO:0002143	vaginal yolk sac tumor
MONDO:0002149	reproductive system cancer
MONDO:0002158	fallopian tube cancer
MONDO:0002159	fallopian tube leiomyosarcoma
